Experiment ID	Experiment Description	Reference Sample	Time (minutes)	Reference
alpha 0	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	0	"Spellman, et al., 1998"
alpha 7	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	7	"Spellman, et al., 1998"
alpha 14	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	14	"Spellman, et al., 1998"
alpha 21	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	21	"Spellman, et al., 1998"
alpha 28	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	28	"Spellman, et al., 1998"
alpha 35	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	35	"Spellman, et al., 1998"
alpha 42	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	42	"Spellman, et al., 1998"
alpha 49	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	49	"Spellman, et al., 1998"
alpha 56	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	56	"Spellman, et al., 1998"
alpha 63	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	63	"Spellman, et al., 1998"
alpha 70	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	70	"Spellman, et al., 1998"
alpha 77	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	77	"Spellman, et al., 1998"
alpha 84	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	84	"Spellman, et al., 1998"
alpha 91	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	91	"Spellman, et al., 1998"
alpha 98	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	98	"Spellman, et al., 1998"
alpha 105	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	105	"Spellman, et al., 1998"
alpha 112	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	112	"Spellman, et al., 1998"
alpha 119	Cell-cycle: Alpha factor arrest and release	unsynchronized culture	119	"Spellman, et al., 1998"
Elu 0	Cell-cycle: Elutriation	unsynchronized culture	0	"Spellman, et al., 1998"
Elu 30	Cell-cycle: Elutriation	unsynchronized culture	30	"Spellman, et al., 1998"
Elu 60	Cell-cycle: Elutriation	unsynchronized culture	60	"Spellman, et al., 1998"
Elu 90	Cell-cycle: Elutriation	unsynchronized culture	90	"Spellman, et al., 1998"
Elu 120	Cell-cycle: Elutriation	unsynchronized culture	120	"Spellman, et al., 1998"
Elu 150	Cell-cycle: Elutriation	unsynchronized culture	150	"Spellman, et al., 1998"
Elu 180	Cell-cycle: Elutriation	unsynchronized culture	180	"Spellman, et al., 1998"
Elu 210	Cell-cycle: Elutriation	unsynchronized culture	210	"Spellman, et al., 1998"
Elu 240	Cell-cycle: Elutriation	unsynchronized culture	240	"Spellman, et al., 1998"
Elu 270	Cell-cycle: Elutriation	unsynchronized culture	270	"Spellman, et al., 1998"
