Condition	Intervalle Sup	Interval Inf
alpha 0	0.821628636	-1.061786378
alpha 7	0.882177094	-1.227826013
alpha 14	0.797981923	-1.002975702
alpha 21	0.750380676	-0.97445351
alpha 28	0.673552446	-0.824142931
alpha 35	0.599497292	-0.805394621
alpha 42	0.670884615	-0.700159076
alpha 49	0.618155317	-0.781042522
alpha 56	0.625820254	-0.708097774
alpha 63	0.524707759	-0.722988751
alpha 70	0.69495075	-0.793933731
alpha 77	0.467822029	-0.678958487
alpha 84	0.433484731	-0.53168632
alpha 91	0.293630228	-0.804885926
alpha 98	0.576386034	-0.736117328
alpha 105	0.533479014	-0.690687451
alpha 112	0.509897951	-0.732056375
alpha 119	0.470555787	-0.697366168
Elu 0	1.172244386	-1.551030655
Elu 30	0.655648846	-1.106402635
Elu 60	0.552387755	-0.934786766
Elu 90	0.680952147	-0.876034587
Elu 120	0.690739886	-0.826236384
Elu 150	0.691043829	-0.882215704
Elu 180	0.61220771	-0.813438732
Elu 210	0.712352084	-0.698143733
Elu 240	0.633908649	-0.694428451
Elu 270	0.654645676	-0.718473191
Elu 300	0.550027935	-0.745951871
Elu 330	0.669102705	-0.730504267
Elu 360	0.707535496	-1.002171748
Elu 390	0.576277502	-0.71344162
cdc15 10	0.89980355	-1.221259457
cdc15 30	1.021919754	-1.150884702
cdc15 50	0.92086066	-1.092414379
cdc15 70	0.979355283	-1.106804809
cdc15 90	0.913260806	-1.219227088
cdc15 110	0.933561116	-1.096166401
cdc15 130	0.980417277	-1.033663869
cdc15 150	1.212891623	-0.862850589
cdc15 170	1.013767058	-0.947673631
cdc15 190	0.918435719	-1.298918304
cdc15 210	0.821835297	-1.047671026
cdc15 230	1.137823967	-1.155926402
cdc15 250	1.088513971	-1.335323182
cdc15 270	0.822122296	-0.985503503
cdc15 290	1.084781848	-1.277564172
spo 0	0.284728427	-0.670931592
spo 2	1.366684487	-1.724713654
spo 5	1.558606143	-2.05386131
spo 7	2.033707312	-2.59143326
spo 9	1.681873264	-2.30165614
spo 11	1.695389536	-2.261851392
spo5 2	1.219399073	-1.258398662
spo5 7	0.838521983	-1.276021983
spo5 11	1.158422425	-1.653235873
spo- early	2.045759173	-2.461277554
spo- mid	2.309883672	-2.881621364
heat 0	0.622058904	-0.753763402
heat 10	1.656589541	-1.985635405
heat 20	1.434698734	-1.849845005
heat 40	1.201828082	-1.569807633
heat 80	0.796580609	-1.130121593
heat 160	1.134501109	-1.251755444
dtt 15	0.71038502	-1.121750152
dtt 30	0.668698099	-1.312884907
dtt 60	0.720286	-1.291059982
dtt 120	0.665787723	-1.375412
cold 0	0.603405701	-0.789000107
cold 20	0.970456525	-0.713644154
cold 40	1.19058546	-1.308580489
cold 160	1.295465919	-1.534645911
diau 9	0.455060749	-0.53576433
diau 11	0.536295898	-0.537545898
diau 13	0.784154441	-0.496514741
diau 15	0.499292351	-0.87845388
diau 17	0.573532127	-1.021953397
diau 19	1.696967453	-1.685498065
diau 21	1.576031704	-2.224988835
